2025-03-04 09:54:38.947 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 09:54:39.277 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain it'
2025-03-04 09:54:41.828 | DEBUG    | apps.rag.services:hybrid_search:360 | Generated search queries: {'semantic_queries': ['provide an explanation', 'clarify the concept', 'elaborate on it', 'define it'], 'keyword_terms': ['explain', 'definition', 'clarification'], 'arabic_terms': ['اشرح', 'تفسير'], 'filters': {}}
2025-03-04 09:54:54.017 | INFO     | core.vector_store.singleton:_initialize:36 | Initializing global vector store
2025-03-04 09:54:54.096 | DEBUG    | core.vector_store.connection:ensure_connection:37 | Connected to Milvus server version: v2.4.13
2025-03-04 09:54:54.156 | INFO     | core.vector_store.singleton:_initialize:43 | Vector store singleton initialized successfully
2025-03-04 09:54:54.158 | DEBUG    | apps.rag.services:hybrid_search:374 | Found 0 semantic search results
2025-03-04 09:54:54.160 | DEBUG    | apps.rag.services:hybrid_search:381 | Trying keyword search with: explain definition clarification
2025-03-04 09:57:44.674 | INFO     | __main__:lifespan:19 | Starting up application...
2025-03-04 09:57:44.679 | INFO     | core.db:init_db:20 | Initializing database...
2025-03-04 09:57:44.717 | INFO     | core.db:init_db:24 | Database initialization completed successfully
2025-03-04 09:57:44.891 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 09:59:39.662 | DEBUG    | apps.chat.routes:create_message:130 | Creating message for conversation d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 10:00:00.565 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace default
2025-03-04 10:00:00.575 | INFO     | apps.chat.routes:generate_rag_response:212 | Searching for documents relevant to: 'explain it'
2025-03-04 10:00:07.262 | INFO     | core.vector_store.manager:initialize:53 | Created new vector store for namespace d3425549-504e-49e0-918c-da08ac0407a7
2025-03-04 10:00:09.778 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: elaborate on it
2025-03-04 10:00:09.990 | WARNING  | core.vector_store.manager:similarity_search:130 | No results found for query: explain clarify elaborate
2025-03-04 10:00:11.022 | INFO     | apps.chat.routes:generate_rag_response:229 | Generated response successfully
2025-03-04 10:02:38.374 | INFO     | apps.chat.routes:process_query:447 | Processing query request: what is this doc about? for conversation: d3425549-504e-49e0-918c-da08ac0407a7
